path,mask_id,start_frame,end_frame,fps,video_inpainting_prompt,image_inpainting_prompt,type
000000000005_852122.mp4,3,580,869,29,"A waiter in a black shirt serves a bowl of salad to a customer at an outdoor restaurant. The customer, wearing a grey hoodie, reaches for the salad, which is garnished with lettuce and tomatoes, alongside a crusty baguette. The setting is a wooden table with a white cup and a glass of water, under natural light from a window with greenery. Two seconds later, the scene shows the same waiter serving a green salad with leafy greens and golden-brown croutons to the customer, now in a grey jacket. The table also has a white cup and a small plate, with a napkin holder and a glass of dark liquid nearby, against a backdrop of lush greenery.","A circular, glossy, brown surface with a black rim.",objects
000000000033_852334.mp4,2,0,229,23,"A serene marina scene unfolds with a variety of boats docked, including a large white ferry with a metal claw, a classic sailboat with blue and white hues, and a small red and white boat named 'CAPRI'. The calm waters reflect the clear blue sky and the vibrant colors of the boats. A wooden dock with yellow safety lines and white buoys adds to the tranquility. As time passes, the scene includes a white ferry with a metal claw, a sailboat with blue and white sails, and a red and white boat named 'CAPRI', all moored to the wooden dock under a clear sky, with a backdrop of lush greenery and distant hills.","A small barge with a wooden deck, a white buoy hanging off the side, yellow rope, and a small cabin structure.",objects
000000000084_852428.mp4,4,180,400,30,"A person is seen operating a vintage green industrial sewing machine, guiding dark fabric through its needle and presser foot with precision. The machine, labeled 'The Hurst Corporation' and 'Made in USA', is surrounded by an array of garments on a rack, indicating a tailoring or clothing production environment. The individual's hands, adorned with a brown leather watch and bracelet, show a high level of skill and attention to detail. The scene is bathed in natural light, highlighting the textures and colors of the materials and the machine's components, suggesting a focus on traditional craftsmanship in garment making.","Part of a vintage sewing machine with a green and beige body, various gears, levers, labels, and a circular button.",objects
000000000091_853720.mp4,20,1518,1807,29,"A military helicopter hovers above a desert training area, with two soldiers performing a high-altitude rope operation. The helicopter, marked with '16', is surrounded by concrete structures and sparse vegetation, with mountains in the background. As the operation continues, soldiers are seen suspended from the helicopter by a rope, with one soldier on the ground and another in mid-swing, against a backdrop of clear skies and distant mountains. The scene is devoid of visible insignia, focusing on the action and the helicopter's role in the exercise.",Military helicopter in flight with landing gear extended and a partially open side door.,objects
000000000097_853729.mp4,3,50,299,25,Beautiful red flowers on the fence,Pink flower with elongated petals and a yellowish center.,objects
000000000224_853917.mp4,1,0,249,25,"Two boats, a white rigid inflatable and a grey rigid inflatable, are moored side by side in tranquil turquoise waters under a clear blue sky. The white boat has a cabin with a protective canopy and a swim platform, while the grey boat is equipped with a canopy and a sturdy outboard motor. A red buoy floats between them, and the calm sea sparkles with sunlight. In the distance, rolling hills and faint mountains create a serene backdrop, suggesting a peaceful day at a marina or dock. The scene is consistently tranquil, with no people visible, emphasizing the stillness of the water and the quietude of the surrounding landscape.",Inflatable boat with a metal frame canopy and a rope tied at the front.,objects
000000000275_853994.mp4,1,0,229,23,"A train station bustles with activity, featuring a white train with blue accents docked at a platform, ready to depart. Passengers in winter attire engage in various activities, some boarding the train, others waiting or conversing. The station is well-organized, with metal latticework and a patterned canopy providing shelter. Another red train is visible on the adjacent track, indicating a busy rail network. The scene is set against a backdrop of hazy skies and distant buildings, suggesting an early morning or late afternoon setting. The architecture blends traditional and modern elements, with a metal lattice canopy and a glass-paneled building adjacent to the platform.","A long, white cylindrical structure with markings and small hatches along its surface.",objects
000000000424_854196.mp4,2,0,299,30,"A steaming bowl of traditional Japanese hot pot soup, rich in a creamy orange-red broth with leafy greens and tofu, is presented on a wooden table alongside a plate of noodles and a small bowl of sauce, ready for customization. As time progresses, the soup, now with a creamy, spicy broth and a variety of vegetables including leafy greens, cabbage, and green onions, is shown in a traditional clay pot on a black burner, with a side of noodles and a small bowl of sauce, suggesting a communal dining experience. The setting is casual, emphasizing the warmth and comfort of the meal.",A bowl of spicy red soup with vegetables and sesame seeds.,objects
000000000437_854222.mp4,190,1874,2023,23,"An aerial view reveals a residential area with brown-roofed buildings and red-tiled roofs, surrounded by greenery and a central swimming pool. The streets are lined with parked cars, and the area is set against a backdrop of distant mountains under an overcast sky. As the view continues, the scene includes a grid-like street system, a variety of vehicles, and a communal pool with a red-tiled deck, all under the soft light of the overcast sky. The mountains' snow-capped peaks contrast with the suburban setting.","Two-story house with brown roof, multiple chimneys, beige and brown exterior walls, windows, and surrounding greenery.",objects
000000000470_854274.mp4,16,986,1275,29,"A space station orbits Earth, showcasing a complex array of modules and appendages, including a cylindrical module with a 'Cygnus' cargo adapter and a spherical module marked 'USA'. The station is adorned with solar arrays and communication antennas, highlighting its role in scientific research and international collaboration. As the view continues, the Earth's horizon is visible, with the blue of the oceans and the brown of the continents contrasting against the blackness of space. The scene is set against a star-filled backdrop, emphasizing the solitude and grandeur of space exploration.","View of Earth from space, horizon curving with visible landmasses and some clouds.",objects
000000000626_854628.mp4,2,116,405,29,"A honeybee, adorned with yellow and black stripes, is seen foraging on the vibrant purple petals of a flower, likely an aster, amidst a lush garden setting. The scene is tranquil, with soft-focus greenery and a wooden edge enhancing the serene atmosphere. As time passes, the bee continues its pollination efforts on the same flower, surrounded by a cluster of similar blooms, against a backdrop of soft green grass and subtle brown foliage. The natural light highlights the intricate details of the bee's body and the vivid colors of the flowers, creating a peaceful tableau of nature's daily ballet.","A purple flower with elongated petals and a yellow center, partially obscured in the middle.",objects
000000000716_854751.mp4,3,0,199,25,"A train with a blue and pink livery, branded 'First Great Western', travels along a coastal path beside a pebble beach under an overcast sky. The scene is serene, with no people or animals in sight, and a red signal light is visible above the tracks. As the train continues, it passes a stone wall and a pebbled beach, with a cliff and a town in the distance. The train's journey is solitary, with no other people or vehicles in sight, and the overcast weather adds to the tranquil atmosphere.","A blue train engine with ""First"" and ""Great Western"" written on the side.",objects
000000000881_855026.mp4,15,389,638,25,"Cherry blossoms in full bloom are the focal point, with clusters of vibrant pink flowers and green leaves against a clear blue sky. The branches are intertwined, creating a natural tapestry that conveys serenity and the ephemeral beauty of spring. As time passes, the blossoms' delicate petals and the contrasting colors of the flowers and leaves are highlighted, emphasizing the tranquility and renewal of spring. The scene remains consistent, with the blossoms' intricate details and the serene atmosphere being the central visual elements.",Cluster of pink cherry blossoms on a branch.,objects
000000000957_855231.mp4,1,322,551,23,"An orange fruit is seen hanging from a tree branch, its vibrant orange color standing out against the green leaves and the clear blue sky. The scene is bathed in sunlight, casting a warm glow that highlights the fruit's texture and the leaves' freshness. As time passes, the sunlight continues to bathe the scene, emphasizing the fruit's ripe condition and the lush green leaves that surround it. The tranquil atmosphere is accentuated by the gentle interplay of light and shadow, showcasing the fruit's natural beauty and the serene environment.",An orange fruit hanging from a branch with green leaves and a blue sky in the background.,objects
000000000987_855272.mp4,1,0,249,25,"Two sunflowers, one fully bloomed and the other in the bud, stand tall with their vibrant yellow petals and dark brown centers against a bright blue sky dotted with white clouds. The scene is set in a lush garden, with the sunflowers' green leaves stretching upwards, creating a sense of growth and vitality. As time passes, the sunflowers continue to dominate the view, with the fully bloomed flower's large central disk and the bud's smaller one highlighted by the natural light. The surrounding foliage and the serene sky contribute to a tranquil and buoyant atmosphere, emphasizing the beauty of nature.",A sunflower with yellow petals and a brown center.,objects
000000001523_856207.mp4,2,350,549,25,"A white ferry with red and blue accents, named 'COLUMBIA', cruises on a calm river, its two-tiered structure featuring large windows and a German flag, against a backdrop of modern and traditional buildings. As it moves, the ferry, now identified with 'COLUMBIA' and 'Rhein Express' text, continues its journey under an overcast sky, with a stone wall and a mix of modern and historical architecture in the background. The scene shifts to show the ferry with 'COLUMBUS' and 'Rhein Express' text, cruising on a river that reflects the sky, with a stone wall and a mix of modern and traditional buildings, including a Gothic church, under a clear sky.","White and red passenger ferry boat labeled ""COLONIA 6"" with multiple windows, life buoys, and upper deck seating.",objects
