path,mask_id,start_frame,end_frame,fps,Original_video_caption,Edited_video_caption,Edited_image_caption,Editing_instruction,type
000000014746_3937531.mp4,2,0,299,30,"The video features a serene sunset scene at a beach with the sun dipping below the horizon, casting a golden glow across the sky and sea. The colors transition from orange and yellow to purple and blue, reflecting on the calm waters. A rugged limestone cliff stands to the right, its silhouette against the sky, while a solitary rock floats in the water. As time passes, the sky's colors deepen, and the cliff's presence becomes more pronounced, with a solitary figure eventually appearing on the cliff, adding a sense of scale and contemplation to the tranquil natural setting.","The video features a serene sunset scene at a beach with the sun dipping below the horizon, casting a golden glow across the sky and sea. The colors transition from orange and yellow to purple and blue, reflecting on the calm waters. A flock of seagulls flies in the sky, adding movement to the tranquil scene. A rugged limestone cliff stands to the right, its silhouette against the sky, while a solitary rock floats in the water. As time passes, the sky's colors deepen, and the cliff's presence becomes more pronounced, with a solitary figure eventually appearing on the cliff, adding a sense of scale and contemplation to the tranquil natural setting.",A flock of seagulls flying across the pastel sunset sky.,Add a flock of seagulls flying in the sky.,add
000000032076_4637063.mp4,2,522,811,29,Mute swan on the river,Mute swan on the river with a family of ducks swimming nearby,"A family of ducks swimming near the swan, creating gentle ripples on the water.",Add a family of ducks swimming near the swan.,add
000000015767_3982751.mp4,2,0,289,29,"Three young women, dressed in cozy winter attire, stand together in a tranquil outdoor setting, engaging in the warmth of sharing a hot drink. Initially, they are seen in a moment of camaraderie, with one woman sipping from a mug, another pouring from a thermos, and the third observing. As moments pass, their activities slightly change; one woman sips from a white mug, another examines a small metal cup, and the third holds a stainless steel thermos. Their expressions of contentment and enjoyment, along with the soft natural lighting, highlight the serene atmosphere of their gathering.","Two young women, dressed in cozy winter attire, stand together in a tranquil snowy winter landscape, engaging in the warmth of sharing a hot drink. Initially, they are seen in a moment of camaraderie, with one woman sipping from a mug, another pouring from a thermos. As moments pass, their activities slightly change; one examines a small metal cup, and the other holds a stainless steel thermos. Their expressions of contentment and enjoyment, along with the soft natural lighting, highlight the serene atmosphere of their gathering.","Snow-covered trees and ground with a soft, overcast winter sky.",Remove the woman.,remove
000000021659_4187478.mp4,1,0,289,29,"A woman practices yoga on a wooden dock with a blue handrail in a calm, muddy river, surrounded by lush greenery and concrete stairs with graffiti. She is dressed in a pink tank top, black leggings, and sports shoes, indicating a focus on physical activity. The serene setting is enhanced by the soft lighting, suggesting it might be early morning or late afternoon. As she continues her practice, the environment remains tranquil, with the overcast sky casting a soft light on the scene, emphasizing the peacefulness of her solitary exercise routine.","A woman practices yoga on a wooden dock with a blue handrail in a calm, muddy river, surrounded by lush greenery and concrete stairs with graffiti, down which a cascading waterfall flows. She is dressed in a pink tank top, black leggings, and sports shoes, indicating a focus on physical activity. The serene setting is enhanced by the soft lighting, suggesting it might be early morning or late afternoon. As she continues her practice, the environment remains tranquil, with the overcast sky casting a soft light on the scene, emphasizing the peacefulness of her solitary exercise routine.","Cascading waterfall flowing down the steps, with shimmering, clear water and subtle splashes.",Add a cascading waterfall flowing down the steps.,add
000000038617_4841884.mp4,2,0,249,25,"A young boy with curly hair and glasses, wearing a backwards baseball cap and a black sports jersey with a red and white stripe, stands in an arcade room filled with classic video games like 'Dragon's Den' and 'Space Invaders'. Initially, he appears contemplative, hand on nose, surrounded by the nostalgic ambiance of the arcade. As time passes, his demeanor shifts to a beaming smile, maintaining his casual attire and accessories, with the warm purple and blue lighting enhancing the retro feel of the scene. The arcade's brick walls and neon lights contribute to the overall nostalgic atmosphere.","A young boy with curly hair and glasses, wearing a backwards baseball cap and a black sports jersey with a red and white stripe, stands in an arcade room filled with classic video games like 'Dragon's Den' and 'Space Invaders'. Initially, he appears contemplative, hand on nose, surrounded by the nostalgic ambiance of the arcade. Above the arcade machine, a neon sign that says ""Play Here"" glows brightly. As time passes, his demeanor shifts to a beaming smile, maintaining his casual attire and accessories, with the warm purple and blue lighting enhancing the retro feel of the scene. The arcade's brick walls and neon lights contribute to the overall nostalgic atmosphere.","Neon sign reading ""Play Here"" in bright blue and pink above the arcade machine.","Swap the item with a neon sign above the arcade machine that says ""Play Here"".",swap
000000040680_4918206.mp4,4,750,949,25,"A man in a plaid shirt, denim overalls, and a white cap is seen feeding a donkey with a pitchfork in a rural farm setting. He stands next to a green wheelbarrow filled with hay, with a donkey nearby, against a backdrop of a wooden fence, a dark green-roofed building, and a clear blue sky. The scene is set on a farm with lush greenery, trees, and a distant structure, suggesting a peaceful day of farm life. The man's attire and the presence of the donkey indicate a routine of care and feeding in a pastoral environment.","A man in a plaid shirt, denim overalls, and a white cap is seen feeding a zebra with a pitchfork in a rural farm setting. He stands next to a green wheelbarrow filled with hay, with a zebra nearby, against a backdrop of a wooden fence, a dark green-roofed building, and a clear blue sky. The scene is set on a farm with lush greenery, trees, and a distant structure, suggesting a peaceful day of farm life. The man's attire and the presence of the zebra indicate a routine of care and feeding in a pastoral environment.",Black and white striped zebra standing on grassy ground.,Change the donkey into a zebra.,swap
000000056289_5390251.mp4,1,290,579,29,"A man in casual attire, including a black t-shirt, blue jeans, and sneakers, is seen walking on a paved path in a park with his golden retriever guide dog. The dog, wearing a harness and leash, is focused on navigating the path, which is lined with trees and benches, indicating a serene environment. The man uses a red and white cane for support, and the dog's calm demeanor and attentive posture reflect its role as a service animal. The scene is peaceful, with the soft lighting suggesting it might be early morning or late afternoon.","A man in casual attire, including a black t-shirt, blue jeans, and sneakers, is seen walking on a paved path in a park with his golden retriever guide dog. The dog, wearing a harness, leash, and a colorful bandana around its neck, is focused on navigating the path, which is lined with trees and benches, indicating a serene environment. The man uses a red and white cane for support, and the dog's calm demeanor and attentive posture reflect its role as a service animal. The scene is peaceful, with the soft lighting suggesting it might be early morning or late afternoon.","A vibrant, multicolored bandana tied around the dog's neck.",Swap the dog with one wearing a colorful bandana.,swap
000000043049_4986450.mp4,2,0,173,29,"A black and white cow with a bell around its neck grazes on a lush green field, surrounded by a serene landscape of rolling hills, a forest, and a small village nestled against a mountainous backdrop under a clear blue sky. As time passes, the cow, still in the same setting, continues to graze on vibrant green grass, with the scenery including a small village among the trees and a church spire visible in the distance, all under a sunny sky with scattered clouds.","A blue cow with a bell around its neck grazes on a lush green field, surrounded by a serene landscape of rolling hills, a forest, and a small village nestled against a mountainous backdrop under a clear blue sky. As time passes, the cow, still in the same setting, continues to graze on vibrant green grass, with the scenery including a small village among the trees and a church spire visible in the distance, all under a sunny sky with scattered clouds.","Cow's fur is a vibrant blue with a glossy texture, contrasting with white patches.",Change the cow's fur color to blue.,change
000000004522_2307504.mp4,17,348,521,29,"A drone captures a tranquil winter scene, showcasing a frozen lake and a stately castle with red roofs and cream walls, surrounded by a well-maintained garden. The castle, featuring a clock tower and multiple spires, stands out against the clear blue sky. A pathway leads to the castle's entrance, flanked by leafless trees and a small bridge. As the scene unfolds, the castle's architectural details, including a central clock tower and smaller spires, are highlighted. The surrounding bare trees and the serene, isolated atmosphere are emphasized, with no people or animals present.","A drone captures a tranquil winter scene, showcasing a frozen lake and a stately castle with red roofs and cream walls, surrounded by a well-maintained garden. The castle, featuring a clock tower and multiple spires, stands out against the clear blue sky, which also features a hot air balloon floating gracefully. A pathway leads to the castle's entrance, flanked by leafless trees and a small bridge. As the scene unfolds, the castle's architectural details, including a central clock tower and smaller spires, are highlighted. The surrounding bare trees and the serene, isolated atmosphere are emphasized, with no people or animals present.","A colorful hot air balloon with red, yellow, and blue stripes floating in the clear blue sky.",Add a hot air balloon in the sky.,add
000000007261_3044759.mp4,18,200,386,25,"A young Black woman with her hair in an afro is seated at a white desk, working on a computer with a wireless keyboard and mouse. She is dressed in a light beige shirt over a coral top, with her nails painted pink. The office is modern and minimalist, featuring a sleek black monitor, a potted plant, and a gray floor. As time passes, the woman remains focused on her work, with the scene highlighting the contemporary design of the office space, including a white desk, a black chair, and a potted plant, all under natural light.","A young Black woman with her hair in an afro is seated at a white desk, working on a computer with a wireless keyboard and mouse. A colorful butterfly lands on her hair, adding a touch of whimsy to the scene. She is dressed in a light beige shirt over a coral top, with her nails painted pink. The office is modern and minimalist, featuring a sleek black monitor, a potted plant, and a gray floor. As time passes, the woman remains focused on her work, with the scene highlighting the contemporary design of the office space, including a white desk, a black chair, and a potted plant, all under natural light.",A vibrant blue and orange butterfly delicately perched on the curly hair.,Add a colorful butterfly landing on the hair.,add
